carat,cut,color,clarity,price
0.34,Ideal,H,VVS1,995
0.52,Ideal,D,SI2,1158
0.3,Ideal,F,VS1,754
0.91,Premium,E,SI1,3665
0.23,Very Good,D,VVS2,530
0.28,Ideal,I,VS2,503
0.29,Ideal,E,VS1,619
1.5,Premium,I,VS1,9900
0.75,Fair,D,SI1,2376
0.31,Very Good,G,VS2,651
0.51,Good,G,SI1,1259
0.55,Ideal,G,SI2,1173
1.04,Premium,H,VS2,4477
0.72,Very Good,E,SI1,2618
0.3,Good,E,SI1,675
0.52,Ideal,F,VS2,1629
2.04,Ideal,I,SI1,16718
1.52,Good,G,VS1,13903
1.03,Ideal,E,SI1,5330
0.3,Very Good,G,SI2,506
0.25,Good,F,VVS1,490
0.38,Ideal,G,SI1,969
0.24,Very Good,G,VVS2,449
0.96,Good,H,SI2,3611
0.24,Very Good,F,VS1,419
0.71,Premium,G,SI2,2913
1.04,Good,J,SI1,3407
0.42,Ideal,G,VS1,823
0.57,Ideal,D,SI1,1810
0.32,Ideal,E,VS2,900
0.9,Very Good,H,VS2,4157
1,Fair,G,SI1,3965
0.71,Very Good,D,SI1,2690
0.56,Very Good,G,VVS2,2010
0.38,Ideal,F,VS1,865
0.3,Premium,E,SI1,675
1.23,Ideal,G,VS1,9230
0.57,Ideal,E,VS2,1949
0.73,Ideal,H,IF,3301
2.07,Ideal,F,SI2,13373
0.59,Ideal,I,VS1,1442
1.01,Premium,H,VS2,5120
1.01,Good,J,SI1,3853
0.7,Very Good,I,VVS1,2484
0.54,Ideal,F,VS2,1786
1.1,Premium,H,VS2,5805
0.74,Premium,E,SI2,2527
0.32,Good,I,SI1,432
1.06,Premium,F,SI2,3831
1.24,Ideal,G,IF,13178
2.01,Very Good,H,VS2,18561
0.38,Ideal,E,VVS2,1100
0.3,Good,D,VVS2,787
1,Good,I,SI1,3878
0.9,Good,G,VS2,4269
1.03,Premium,H,SI1,4603
0.31,Good,D,SI1,571
1.01,Premium,F,SI2,4497
0.52,Ideal,G,VS2,1586
0.4,Very Good,E,SI2,666
1.12,Premium,H,SI1,5266
2.01,Ideal,J,SI1,9725
1.23,Premium,G,SI1,6888
0.31,Very Good,F,VS2,625
1.52,Premium,H,SI2,7906
1.34,Very Good,E,SI2,5065
0.37,Premium,F,VS2,957
0.26,Ideal,F,VVS1,733
0.35,Good,H,VVS2,620
1.01,Ideal,E,SI1,5235
0.58,Very Good,E,SI1,1424
1.2,Ideal,F,IF,14300
0.32,Premium,J,VS1,540
0.93,Ideal,D,SI1,4724
1.2,Very Good,G,VS2,7741
1.04,Ideal,D,SI1,6112
0.28,Very Good,E,VVS2,596
0.56,Ideal,G,VVS2,1949
0.81,Ideal,E,VS2,3975
2.23,Premium,J,SI1,13069
0.29,Very Good,D,VVS2,600
1.39,Very Good,H,VS2,8951
0.5,Very Good,G,VVS1,1987
1.02,Ideal,G,VVS2,8107
1.03,Premium,E,VS1,7677
0.5,Ideal,E,VS1,1724
1.4,Premium,I,VS1,7722
0.7,Premium,E,SI1,2777
1.16,Premium,I,VS2,4958
0.34,Ideal,H,VVS2,880
0.61,Good,E,SI2,1408
0.34,Ideal,J,VS1,469
1.21,Very Good,G,VS2,7906
0.32,Ideal,F,VS2,828
1.28,Premium,G,VS2,9032
0.31,Ideal,H,VS2,489
0.34,Ideal,D,I1,530
1.13,Ideal,H,SI1,4959
0.31,Very Good,G,VS1,625
1.18,Premium,G,VVS2,8025
0.81,Fair,I,VS2,2414
0.54,Premium,F,IF,2391
1.2,Premium,G,SI1,5868
0.51,Premium,F,VVS2,2056
1,Premium,E,SI2,4390
0.75,Ideal,D,VS1,3961
0.3,Premium,F,VVS1,1114
1.38,Premium,H,SI2,6646
0.26,Ideal,E,VS1,452
1.05,Very Good,E,VS1,7666
0.8,Premium,E,VVS2,4229
2.04,Ideal,J,IF,17327
0.53,Very Good,D,IF,3827
1.29,Premium,E,I1,3901
1.01,Good,E,SI1,4399
1.53,Premium,G,VS2,12228
1.13,Premium,H,SI1,5050
0.9,Very Good,F,SI1,3950
0.23,Very Good,F,VVS1,530
2.24,Ideal,J,VS2,15316
0.71,Very Good,E,SI1,2685
0.33,Good,I,VS1,521
1.53,Premium,I,VS2,10196
0.7,Ideal,E,VS2,2697
0.41,Ideal,G,VVS1,1000
0.7,Very Good,E,VS2,2843
0.3,Ideal,E,IF,957
0.25,Very Good,D,VS1,410
0.4,Premium,F,VS2,1080
0.26,Ideal,H,SI1,474
0.7,Ideal,G,SI1,2415
0.31,Good,I,VS1,489
1.13,Premium,H,SI1,5194
0.53,Premium,D,SI1,1753
0.37,Premium,H,VVS2,957
0.91,Very Good,E,SI2,3015
0.37,Premium,D,VVS2,1145
0.3,Very Good,H,SI1,421
1.17,Good,J,SI1,4054
0.26,Premium,E,VVS1,599
1.16,Ideal,G,VS2,8061
1.01,Very Good,E,SI1,5226
0.75,Fair,F,SI2,2102
0.53,Ideal,G,VVS2,1881
1,Premium,D,SI1,5488
0.57,Ideal,D,SI1,1847
1.5,Very Good,I,VS2,9611
0.51,Ideal,G,VVS2,1794
0.59,Ideal,E,SI1,1561
0.37,Ideal,E,VS1,1124
0.6,Ideal,I,SI2,1009
1.02,Premium,G,SI1,5255
0.34,Ideal,D,VS2,1033
0.61,Ideal,D,VS2,2364
0.46,Fair,D,VS1,1166
1.02,Premium,D,SI1,5998
2.01,Fair,G,SI2,14799
0.46,Very Good,E,SI1,1032
1.06,Premium,G,VS1,7130
1.13,Ideal,F,VS2,8157
0.32,Ideal,H,VS2,523
0.41,Premium,G,VVS1,1230
1.22,Premium,H,VS2,6184
0.55,Ideal,E,SI1,1551
0.54,Ideal,G,VS1,1957
1.01,Ideal,J,SI2,4174
0.39,Premium,F,VS2,1053
0.9,Ideal,H,SI2,4101
0.81,Very Good,G,VVS2,3981
0.36,Ideal,I,VS2,523
0.9,Very Good,I,VS2,3570
0.34,Ideal,D,VS1,914
0.7,Fair,G,I1,1001
0.23,Ideal,G,IF,536
0.31,Premium,G,SI1,593
0.91,Premium,E,VS2,4739
1.01,Premium,H,SI1,4578
1.03,Very Good,G,SI2,4466
0.7,Ideal,F,VS1,2381
0.32,Ideal,D,SI1,589
2.12,Ideal,H,SI2,12284
1.15,Very Good,D,SI1,5932
0.32,Ideal,G,VVS1,814
0.73,Ideal,E,SI1,2728
2,Good,G,VS2,17898
0.31,Premium,F,VS2,802
2,Premium,H,SI2,11202
0.26,Very Good,F,VS2,499
2,Very Good,J,VS2,13113
0.69,Very Good,I,VS2,2070
0.31,Very Good,G,VVS2,907
1.03,Ideal,D,SI2,4679
0.38,Ideal,D,VS1,1140
2.01,Premium,H,SI2,15917
1.05,Premium,H,SI2,4234
0.36,Ideal,D,SI1,851
0.9,Ideal,H,SI1,3629
1.04,Ideal,D,IF,14626
0.3,Ideal,F,VVS1,1041
1.31,Very Good,I,SI2,5582
0.3,Ideal,F,VS2,573
0.3,Premium,F,VS2,605
0.32,Good,I,SI2,374
1.08,Ideal,H,SI2,4536
0.92,Fair,E,SI1,4482
0.31,Ideal,G,VVS1,789
1,Good,G,SI2,3646
0.55,Ideal,E,VS2,1596
0.7,Very Good,H,VS2,2335
0.23,Very Good,D,VVS1,492
1.51,Good,D,I1,6088
1.01,Very Good,F,VS2,6257
0.37,Ideal,D,VS2,1124
0.36,Ideal,E,SI1,631
0.51,Premium,G,VVS2,1875
1.01,Premium,D,SI1,5780
1,Premium,F,SI1,4939
0.23,Very Good,D,VVS2,505
0.3,Premium,H,VS2,473
1.51,Ideal,G,VS2,13214
0.23,Very Good,G,VVS2,431
0.71,Ideal,F,SI1,2381
1.01,Very Good,E,VVS1,10891
0.36,Ideal,F,VS1,1013
0.58,Very Good,F,VS2,1914
1.51,Ideal,E,VS2,14844
0.7,Ideal,E,SI2,2100
0.41,Premium,G,VS2,1061
0.95,Premium,H,SI2,3652
0.54,Premium,E,SI2,1250
0.7,Good,F,SI1,2167
1.05,Good,E,SI1,4967
1.51,Premium,G,SI1,10655
0.37,Good,F,SI1,738
1.57,Premium,H,VS1,10930
0.21,Premium,D,VS2,386
1.08,Very Good,D,VS1,8513
0.9,Very Good,E,SI1,3868
1.53,Very Good,I,SI2,7406
0.26,Good,F,VVS1,564
0.54,Ideal,D,VS1,1941
0.74,Very Good,I,VVS2,2600
0.37,Premium,E,VS2,1041
1.51,Very Good,E,SI2,7737
0.7,Premium,F,VVS1,3204
1.02,Very Good,I,SI1,3927
1.21,Good,H,VS1,6748
0.33,Premium,I,VVS2,579
0.32,Ideal,E,VVS2,864
0.52,Ideal,F,VS1,2123
0.34,Very Good,D,SI1,626
0.38,Good,H,VS1,721
0.75,Ideal,G,SI1,2902
0.4,Premium,I,VVS1,1080
0.31,Ideal,F,VS2,640
1.03,Very Good,D,SI2,4580
0.62,Ideal,E,VS1,2492
0.35,Premium,D,SI2,669
1,Good,D,SI2,4427
1.11,Good,J,SI1,3846
0.96,Fair,H,I1,1739
0.52,Ideal,D,VVS1,3247
2.01,Good,H,I1,7024
1.23,Premium,E,SI2,6172
1.2,Ideal,I,SI2,5050
0.43,Premium,D,SI1,796
0.31,Ideal,H,VS1,698
0.64,Ideal,G,IF,2960
1.5,Premium,E,VS2,14745
0.96,Very Good,I,SI2,3286
1.09,Ideal,H,SI1,5219
1.51,Fair,J,SI1,6976
0.71,Premium,F,VVS1,3347
1.51,Ideal,I,VS2,9234
2,Premium,I,VS2,16694
1.01,Ideal,F,VVS2,8688
0.36,Very Good,G,VVS2,821
0.57,Very Good,E,VS2,1785
0.3,Ideal,F,VVS2,694
1.52,Very Good,I,SI1,8703
2.01,Very Good,H,SI2,15773
1.01,Very Good,F,VS2,6083
0.52,Premium,E,SI2,1229
0.34,Very Good,G,VVS2,740
0.46,Fair,H,VS2,830
1,Fair,G,SI1,2964
2,Very Good,G,SI1,18186
0.35,Ideal,E,VVS1,1044
0.31,Very Good,G,VS1,625
0.31,Ideal,I,SI1,436
0.41,Premium,G,VS1,899
0.31,Good,H,VS1,544
0.57,Ideal,F,VS2,1760
0.43,Ideal,I,VVS1,968
0.9,Fair,F,SI2,3062
0.33,Ideal,E,VS1,768
0.91,Ideal,E,SI2,3800
1.01,Very Good,D,SI2,4727
1,Ideal,H,VVS2,6607
2.09,Ideal,I,SI1,16704
0.72,Ideal,F,SI2,2058
0.41,Very Good,F,VVS1,1295
0.23,Premium,D,VVS2,680
1.05,Very Good,H,VS2,5370
0.56,Ideal,G,VVS1,2202
1.2,Very Good,F,VS2,7114
1.25,Premium,G,SI2,4991
1.5,Very Good,H,SI2,7888
0.37,Premium,E,VVS2,971
0.41,Very Good,E,SI1,674
0.82,Ideal,E,SI1,3380
0.32,Ideal,I,VVS2,720
1.02,Premium,H,VS2,5312
0.33,Ideal,E,VS2,723
0.5,Ideal,H,IF,1844
0.57,Ideal,G,VVS2,2206
0.3,Ideal,I,VVS2,515
0.33,Good,E,SI1,579
1.22,Ideal,J,SI2,4676
1.27,Ideal,H,VS1,8652
1.03,Good,H,SI2,3892
0.51,Ideal,E,VS2,1781
1.4,Good,D,SI1,8624
0.7,Ideal,G,VS1,3034
0.5,Very Good,E,VS2,1547
0.41,Ideal,J,VS1,703
0.3,Good,E,VVS1,702
0.3,Very Good,G,VS1,605
0.37,Ideal,E,VS1,1087
1.59,Ideal,J,SI2,7155
0.24,Very Good,F,VS1,393
1.02,Very Good,E,SI1,7277
0.43,Premium,I,IF,1056
0.55,Very Good,F,VS1,1853
1.5,Premium,H,SI1,9697
1.04,Premium,E,VVS1,11382
1.01,Good,E,SI1,5226
0.7,Premium,G,SI2,2087
0.33,Ideal,E,VS2,928
0.3,Premium,I,VS1,608
0.27,Ideal,G,VS2,459
0.48,Good,D,VS1,1743
0.38,Premium,H,SI1,812
0.77,Ideal,D,VS2,3755
0.73,Premium,F,VS2,2683
1.7,Good,F,VS1,17330
0.9,Ideal,G,SI1,4008
0.34,Ideal,D,I1,413
0.74,Very Good,I,VS2,2327
0.72,Very Good,G,VS1,2819
1.12,Premium,E,I1,3942
0.7,Premium,I,VVS1,2536
1.21,Ideal,E,VS1,10351
0.5,Very Good,E,VVS2,2275
1.53,Ideal,F,SI1,11713
1.02,Ideal,F,VS2,7078
1.55,Ideal,J,VS1,8959
0.7,Fair,F,SI2,1564
0.46,Very Good,G,VS2,1172
1.04,Premium,G,SI1,4948
1.09,Premium,G,VS2,6592
0.43,Ideal,G,IF,1683
0.32,Ideal,G,IF,898
0.3,Ideal,E,VS2,844
1,Ideal,E,SI1,6324
0.7,Fair,E,SI1,2697
1.2,Very Good,J,SI2,4102
0.3,Ideal,F,VS1,621
0.43,Premium,F,SI1,792
0.3,Very Good,H,VS1,526
0.9,Very Good,I,VS1,3580
0.3,Premium,G,VS2,526
0.3,Premium,I,SI1,506
1.55,Premium,H,VS2,11149
0.4,Very Good,F,SI1,707
1,Very Good,G,SI2,4142
1.54,Premium,H,SI1,10466
0.31,Premium,F,VS2,802
0.7,Premium,F,SI2,1806
0.31,Ideal,E,VS2,872
2,Premium,F,SI1,17172
0.32,Ideal,D,SI1,714
1.51,Ideal,D,SI2,6934
1.05,Premium,H,VS1,5886
1.21,Very Good,H,VS1,6871
0.57,Ideal,E,VS1,1884
1.01,Ideal,J,VS1,4693
0.41,Premium,D,SI1,791
1.34,Ideal,G,VVS1,11640
0.33,Ideal,G,VS2,743
1.01,Premium,G,VS1,6759
0.57,Very Good,I,VS2,1267
0.56,Ideal,E,VS1,2075
0.31,Ideal,G,IF,891
0.91,Good,G,SI1,5394
0.3,Ideal,E,VVS1,838
1.86,Very Good,H,VVS2,17267
0.31,Premium,E,VVS2,1046
1.06,Premium,G,VVS2,8003
1.64,Very Good,J,SI2,7750
0.91,Fair,E,VS2,4550
0.33,Ideal,E,VVS1,945
1,Very Good,H,SI1,5247
0.34,Ideal,H,SI1,508
0.39,Good,I,VS1,737
1.11,Very Good,I,SI2,3882
0.79,Premium,F,VS2,2953
1.43,Fair,E,SI1,7928
0.53,Premium,D,VVS2,2514
1,Ideal,E,VS2,7569
1,Ideal,F,SI2,5798
0.3,Premium,H,VVS1,878
0.91,Premium,H,VVS1,4944
1.22,Ideal,J,VS1,6201
0.4,Very Good,I,SI1,765
0.7,Fair,F,SI1,2121
0.3,Good,G,VS1,605
0.38,Very Good,E,VVS1,1053
1.35,Very Good,H,VVS2,8644
0.53,Very Good,D,VVS1,3307
0.9,Fair,D,SI2,3205
0.32,Ideal,E,VS2,900
0.78,Very Good,D,VS2,3668
0.3,Very Good,E,VS2,658
0.7,Very Good,G,SI1,2175
0.33,Ideal,F,VVS1,893
2,Premium,J,VS2,11966
0.52,Ideal,G,VVS1,1881
0.36,Ideal,G,VVS1,1163
0.88,Ideal,I,SI1,3264
1.09,Ideal,H,VS1,6643
0.5,Premium,E,VS2,1746
1.5,Ideal,H,VS1,11296
0.5,Premium,D,SI2,1279
0.42,Ideal,I,IF,961
0.51,Premium,E,SI1,1624
0.35,Good,D,SI1,601
0.7,Very Good,I,SI1,2028
1.52,Ideal,I,VS1,10392
1.64,Premium,H,SI2,9224
0.35,Ideal,E,VS2,767
1.24,Premium,F,VVS2,11231
0.33,Very Good,F,VVS2,694
0.41,Ideal,H,VS1,1061
2.05,Premium,D,SI1,17776
1.41,Premium,H,VS2,8812
0.91,Very Good,G,VS1,4536
0.31,Ideal,D,VS1,877
0.7,Fair,F,VS1,3039
0.36,Premium,E,VS1,852
1.33,Premium,F,SI2,6790
1.5,Very Good,G,VVS2,15013
0.3,Premium,G,VS1,605
1.28,Premium,I,VS1,6583
1.11,Ideal,F,SI2,4942
1.11,Good,D,VS2,7863
0.54,Premium,F,SI2,1097
1.07,Premium,H,SI2,4194
0.9,Good,G,SI2,3162
0.39,Very Good,H,VVS2,855
1.2,Ideal,H,SI1,6588
0.96,Fair,H,SI2,2672
1,Good,F,IF,9660
0.5,Premium,E,SI1,1348
1.37,Ideal,G,VS1,11009
0.51,Ideal,D,VS2,1660
0.71,Very Good,I,SI2,1902
1.01,Fair,F,SI2,3837
0.51,Very Good,J,SI1,872
2,Fair,G,SI2,14208
0.6,Good,F,SI1,1599
0.4,Premium,G,VVS2,1050
0.93,Ideal,F,SI2,3828
0.51,Ideal,E,SI1,1438
0.72,Ideal,G,SI1,2318
0.71,Ideal,E,SI2,2470
0.41,Ideal,G,VVS1,1068
1.01,Fair,H,SI1,3546
0.25,Very Good,F,VVS1,633
1,Fair,G,VS2,4032
1.52,Ideal,F,VS1,16055
0.32,Premium,G,VS1,645
0.54,Premium,D,SI1,1786
1.6,Ideal,H,VS1,12566
0.31,Ideal,G,VVS1,1046
1.36,Ideal,H,SI1,8989
1.1,Fair,D,SI2,4725
0.61,Premium,F,SI1,1547
1.05,Very Good,H,VS1,4969
0.31,Good,G,SI1,462
0.58,Ideal,F,VS2,1790
0.51,Ideal,H,VS1,1573
1.13,Ideal,G,SI2,5164
0.51,Very Good,E,VS1,1717
1.59,Premium,E,VS1,17552
0.3,Very Good,H,SI1,421
1.64,Premium,F,SI1,12670
0.71,Premium,E,VVS1,3831
0.32,Premium,E,VS2,702
0.83,Ideal,E,SI2,3125
0.32,Good,F,VVS2,619
0.9,Premium,D,SI2,3578
2.01,Premium,J,VS2,12541
1,Premium,I,VS2,4155
1.22,Premium,H,SI1,5997
1.02,Ideal,H,VS2,5426
1.54,Ideal,G,VS2,13110
0.3,Ideal,F,VS1,673
1.22,Ideal,H,SI2,6398
0.31,Premium,I,VVS1,571
0.27,Fair,E,VS1,371
1.73,Very Good,I,SI2,9292
1,Very Good,G,VS2,6743
2.02,Fair,D,SI1,16386
1.7,Very Good,H,VS2,12874
0.32,Very Good,E,SI1,672
1.89,Ideal,H,VS1,17553
0.32,Ideal,F,VS1,725
0.64,Ideal,F,VVS2,3336
1.01,Premium,H,SI2,3620
0.54,Ideal,E,SI2,1250
0.53,Ideal,F,VVS2,1943
2.38,Premium,J,SI2,10716
1.28,Ideal,H,I1,3355
0.41,Premium,G,VS1,899
0.43,Ideal,G,VS1,880
1,Very Good,H,SI1,4995
0.55,Good,I,SI1,1089
0.41,Very Good,H,SI1,683
1.32,Fair,F,VVS1,12648
2.05,Premium,I,VS2,15897
1.22,Ideal,I,SI1,6398
0.5,Good,E,SI1,1155
0.31,Ideal,F,VS2,802
1.51,Premium,F,SI1,11666
0.51,Ideal,G,VS1,1595
1.08,Ideal,H,SI1,4964
0.31,Premium,H,VS1,544
0.41,Good,E,VVS1,957
0.71,Premium,E,VS2,2711
0.7,Ideal,I,SI1,2287
0.44,Ideal,D,VS1,1294
0.62,Premium,E,VVS1,3073
0.25,Ideal,H,SI1,357
0.43,Premium,E,VS1,1131
0.83,Ideal,H,SI2,2565
0.3,Good,H,SI1,540
0.56,Very Good,F,VS2,1614
0.75,Ideal,J,VS2,2104
0.33,Premium,I,VS1,521
0.26,Ideal,F,IF,768
0.72,Good,F,VS1,2795
0.9,Good,I,IF,3669
1.5,Very Good,D,SI1,11352
1.01,Ideal,F,VS2,6416
0.33,Ideal,G,VVS2,730
1.2,Premium,D,VS2,8693
1.09,Premium,D,SI2,5186
1.5,Premium,E,SI2,9157
1.11,Very Good,H,VS1,6061
0.74,Very Good,E,VS2,3323
0.7,Premium,J,IF,2264
0.41,Ideal,G,VVS2,1007
1.01,Premium,D,SI2,4338
0.71,Ideal,G,VS2,2762
1.71,Ideal,G,VS1,17204
1.62,Very Good,D,SI2,9034
0.46,Good,I,VVS1,1089
2.03,Premium,J,SI1,12862
0.73,Very Good,E,VS1,3607
1.12,Premium,G,SI1,5181
0.76,Very Good,G,VVS2,3394
1.01,Ideal,H,SI2,4357
1,Very Good,G,VVS2,7177
0.71,Ideal,G,SI2,1840
1.02,Premium,G,VS2,5978
0.42,Ideal,H,VS2,992
0.3,Ideal,D,VS2,911
0.5,Very Good,G,VS1,1592
1.27,Ideal,J,VS2,5925
1,Good,D,VS2,7114
0.42,Ideal,D,SI1,1040
0.41,Very Good,G,VS2,813
1.54,Very Good,G,SI2,8808
0.4,Ideal,D,VVS1,1754
0.77,Good,F,SI1,2642
0.91,Good,I,VS2,3287
0.9,Very Good,E,SI1,4054
0.4,Very Good,F,SI1,737
1.05,Premium,H,SI1,4608
1.07,Premium,F,SI2,4319
0.32,Very Good,G,SI1,612
0.71,Very Good,E,VVS1,4228
0.9,Good,E,SI1,4165
0.41,Ideal,F,VVS2,1115
2.25,Premium,H,SI2,18034
0.31,Ideal,E,VS1,967
2.01,Ideal,J,SI1,12048
0.52,Good,G,VS1,1576
1.24,Premium,I,SI1,5208
0.52,Ideal,G,VVS2,1878
1.16,Premium,D,I1,3644
1.51,Very Good,I,SI2,7841
1,Ideal,E,SI2,4077
0.71,Very Good,F,SI2,2138
0.28,Premium,E,VVS1,828
0.91,Ideal,I,VS1,4022
1.21,Premium,H,SI2,5140
0.7,Premium,I,VS1,2394
0.73,Very Good,I,VVS1,2623
0.3,Ideal,F,VS1,731
1.08,Ideal,G,SI2,4675
0.33,Good,D,VS2,625
0.31,Ideal,H,VS2,489
0.41,Very Good,E,SI2,818
2,Very Good,J,SI1,12196
1.01,Good,D,SI1,5055
0.41,Premium,H,SI1,876
0.29,Good,E,VVS2,617
0.3,Good,G,VS1,565
0.78,Ideal,I,VS1,3105
0.72,Ideal,F,VS1,3489
0.73,Premium,D,SI1,2821
2,Premium,I,SI2,14208
0.24,Premium,E,VVS1,668
0.38,Ideal,E,VS2,866
0.9,Premium,F,SI1,4232
1.21,Premium,J,VS2,5096
0.52,Ideal,F,VS1,1588
0.26,Very Good,E,VS2,601
1.17,Ideal,J,SI1,4883
0.41,Ideal,J,VS2,637
0.72,Ideal,G,SI2,2297
0.54,Ideal,D,VS1,2039
0.27,Ideal,E,VVS1,622
0.34,Premium,F,VS2,645
1.21,Premium,H,VS2,6710
0.5,Premium,H,SI2,1024
0.91,Good,D,SI1,4113
0.7,Ideal,E,VS2,2839
0.73,Very Good,D,SI1,2768
0.31,Ideal,H,VS2,628
1.51,Premium,I,SI1,9177
0.32,Premium,E,IF,967
0.56,Ideal,H,VVS1,1929
2.3,Premium,I,SI2,11051
1,Ideal,I,SI1,4602
1.51,Ideal,E,VS2,14482
0.33,Ideal,F,VS2,804
0.32,Ideal,F,VVS2,800
1.03,Ideal,G,SI1,5241
0.34,Premium,I,VS1,689
0.3,Premium,G,VVS2,684
0.52,Premium,G,VS1,1815
0.9,Fair,I,VS2,2921
0.6,Premium,D,SI2,1196
1.21,Ideal,D,SI1,7589
0.33,Ideal,E,VS2,723
1.11,Ideal,H,SI1,5325
1.28,Ideal,G,VS2,8774
1,Premium,E,SI2,4077
1.3,Premium,F,VS2,10090
1.58,Ideal,I,VVS1,11526
0.34,Ideal,D,VS2,805
0.53,Ideal,G,VS2,1769
0.37,Premium,F,SI2,624
0.36,Premium,D,SI1,663
1.5,Very Good,J,VS1,8039
0.3,Good,H,SI1,421
0.38,Ideal,F,SI1,660
1.24,Ideal,G,VVS2,10395
0.83,Ideal,D,SI2,3207
0.4,Ideal,G,VVS1,1200
1.26,Premium,D,SI1,7903
0.7,Very Good,D,VS2,2928
0.3,Ideal,E,VS2,658
0.41,Very Good,G,VVS2,932
0.41,Good,F,VS1,891
1.01,Fair,G,SI1,4102
0.36,Ideal,F,SI1,667
0.24,Very Good,F,VVS1,608
0.31,Premium,E,VVS2,1046
2,Fair,H,SI1,14430
0.9,Good,D,SI2,3473
1.02,Premium,H,SI1,4688
0.7,Premium,H,SI1,2176
1.67,Premium,H,SI2,9625
1.58,Very Good,H,VVS2,12459
0.24,Very Good,F,VVS2,552
1.09,Ideal,G,VVS2,8753
0.52,Ideal,E,VS2,1694
1.05,Ideal,I,VVS2,5352
0.53,Premium,E,VVS1,2514
0.3,Very Good,H,SI1,504
1.2,Premium,H,SI1,6282
1.31,Premium,G,VS1,9891
1.03,Ideal,F,SI1,5595
0.51,Ideal,F,VS1,1765
1.25,Ideal,F,VVS2,13623
0.6,Ideal,F,VS2,2099
1.02,Very Good,D,SI2,4633
0.41,Ideal,F,VS1,1076
0.81,Very Good,G,SI1,2733
0.42,Very Good,G,VS2,847
1.72,Ideal,G,VVS2,18431
0.41,Ideal,E,VVS1,1431
1.05,Premium,F,VVS2,8693
0.41,Very Good,F,SI1,705
0.27,Very Good,G,VS1,439
0.55,Ideal,E,VS1,2079
1.74,Good,H,SI1,12032
1.51,Premium,H,VS2,11435
0.4,Ideal,G,SI2,654
0.48,Premium,F,SI1,1110
0.31,Premium,D,VS2,942
1,Premium,F,SI1,5544
0.73,Premium,F,SI2,2393
0.32,Good,E,SI1,524
0.71,Ideal,D,VS2,3245
0.32,Ideal,F,VS2,828
0.7,Premium,F,VS2,2822
1.19,Ideal,I,SI1,4998
0.51,Good,D,VS2,1549
0.71,Ideal,F,VS1,3710
0.51,Ideal,G,VVS2,1875
0.73,Very Good,G,VS1,2999
1.2,Premium,I,SI1,5712
1.51,Ideal,G,VS1,14542
0.53,Premium,D,VS1,2743
1.6,Ideal,J,SI1,8138
0.5,Very Good,D,VS2,1712
1.02,Good,E,SI2,3838
0.3,Premium,E,VS2,844
0.73,Ideal,G,VVS2,3777
1,Premium,F,SI1,5058
0.4,Premium,G,SI1,864
1.03,Ideal,E,SI2,4758
0.41,Ideal,F,VVS1,1356
1.03,Premium,H,VS1,5523
0.26,Very Good,G,VVS1,545
0.31,Premium,G,VVS1,816
0.5,Ideal,H,VS1,1370
0.91,Very Good,E,VS2,4759
1.54,Ideal,J,VVS2,9171
1.04,Ideal,F,SI2,4630
1.59,Very Good,I,VS2,10309
2.09,Ideal,H,SI2,15589
0.4,Ideal,F,VVS1,1908
0.44,Premium,G,SI1,772
1.15,Premium,I,VS2,5120
1,Ideal,G,SI1,4867
0.41,Good,E,SI1,705
0.4,Ideal,G,VS2,804
0.35,Ideal,D,VS2,829
1.25,Ideal,H,SI2,5706
1.02,Very Good,G,SI2,4370
0.25,Very Good,E,VVS2,740
1.01,Ideal,D,VVS1,11767
0.33,Premium,G,SI2,434
1.21,Very Good,F,VS2,7826
1.02,Very Good,F,SI1,6195
1.05,Ideal,F,VS1,7955
0.4,Ideal,E,SI2,629
0.22,Premium,D,VS2,404
0.3,Ideal,D,VVS1,905
0.51,Premium,G,VS2,1443
0.31,Premium,H,VS2,628
1.12,Very Good,H,SI2,5375
1.13,Premium,F,SI2,4360
0.72,Ideal,H,VVS2,3417
0.5,Very Good,F,VS2,1345
1.2,Ideal,I,VS1,5765
1.07,Premium,I,I1,2260
0.73,Ideal,D,SI2,2729
1.02,Very Good,F,SI2,4162
0.97,Very Good,G,SI2,3960
0.37,Ideal,F,SI2,572
0.81,Good,H,SI1,2534
1,Premium,G,I1,2264
0.7,Premium,G,SI1,2184
0.71,Ideal,J,VS2,2047
2,Premium,H,SI2,11108
0.52,Good,E,SI2,1199
1.29,Ideal,G,VVS2,10614
0.31,Good,H,SI1,446
0.33,Ideal,E,VS1,806
1,Very Good,E,VS2,6732
0.33,Ideal,H,VS1,579
0.43,Premium,G,VS2,867
0.31,Very Good,E,VVS1,763
0.33,Very Good,E,VVS2,893
0.39,Good,G,VS2,942
0.36,Ideal,D,VVS1,1718
0.5,Ideal,E,SI1,1617
1.5,Very Good,D,SI1,11863
1.02,Premium,G,SI2,4486
0.36,Very Good,E,VS2,789
1.22,Premium,G,VS2,7729
0.7,Very Good,G,I1,1047
1.02,Premium,F,SI2,4459
1.15,Premium,F,SI2,4186
1.76,Very Good,I,SI2,9898
0.31,Very Good,I,VS1,628
1.28,Ideal,G,SI2,6412
0.33,Premium,H,VS1,579
0.81,Ideal,G,VS1,3923
0.31,Very Good,F,VS2,583
1.13,Premium,I,VS1,5316
0.56,Ideal,I,VVS1,1743
0.53,Ideal,H,VS2,1353
0.31,Good,D,SI1,571
